,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M,Deaths/1M,Total Tests,Tests/1M,Population,Continent,%Inc Cases,%Inc Deaths,%Inc Recovered
30,Chile,2654847,30210.0,40666,108.0,1826543,9243.0,787638,853,136975.0,2098.0,31634694,1632173,19381955,South America,1.1379186823195462,0.2655781242315448,0.5060379087708311
31,Thailand,2608227,14900.0,22465,26.0,2455832,9810.0,129930,687,37216.0,321.0,17270775,246431,70083695,Asia,0.5712692951955485,0.11573558869352327,0.39945729186687035
32,Switzerland,2580013,10543.0,13092,4.0,1691936,56186.0,874985,200,294618.0,1495.0,18003776,2055899,8757132,Europe,0.40864135180714206,0.030553009471432937,3.3208111890757097
33,Romania,2574384,12069.0,61685,64.0,2135049,20928.0,377650,1155,135282.0,3241.0,20265091,1064914,19029787,Europe,0.46881117968414965,0.1037529383156359,0.9802116953756096
34,Vietnam,2540273,29413.0,39037,91.0,2232947,6193.0,268289,2640,25722.0,395.0,77827425,788070,98756969,Asia,1.1578676780015376,0.23311217562825012,0.27734648426496467
35,Sweden,2409081,1834.0,16543,1.0,1573404,26170.0,819134,96,236155.0,1622.0,17101699,1676430,10201263,Europe,0.0761286150195863,0.006044852807834129,1.6632727513086278
36,Austria,2299229,24565.0,14392,20.0,1969374,34120.0,315463,197,252951.0,1583.0,151171207,16631165,9089634,Europe,1.0684016250664896,0.13896609227348528,1.7325302354961527
37,Iraq,2278582,3011.0,24729,25.0,2194306,6171.0,59547,230,54665.0,593.0,17744750,425707,41682965,Asia,0.13214358754699193,0.10109587933195842,0.28122786885694157
38,Denmark,2247850,28013.0,4109,41.0,1663700,27576.0,580041,25,385881.0,705.0,123348455,21174817,5825243,Europe,1.246213048023667,0.9978096860550012,1.6575103684558514
39,Greece,2194999,20906.0,24836,82.0,1959790,18750.0,210373,494,212271.0,2402.0,61265744,5924791,10340574,Europe,0.952437791543413,0.33016588822676757,0.9567351603998387
40,Bangladesh,1914356,4692.0,28838,19.0,1691892,13237.0,193626,1516,11439.0,172.0,13029787,77861,167346486,Asia,0.24509547858392067,0.06588529024204175,0.782378544256962
41,Serbia,1848040,7030.0,14494,67.0,1602157,17613.0,231389,190,212899.0,1670.0,8527011,982334,8680356,Europe,0.3804030215796195,0.4622602456188768,1.0993304651167146
42,Hungary,1717072,21081.0,42631,271.0,1450631,26710.0,223810,271,178478.0,4431.0,10513080,1092766,9620613,Europe,1.227729530270134,0.63568764514086,1.8412676966092687
43,Jordan,1490473,22113.0,13532,24.0,1288687,23662.0,188254,1245,143769.0,1305.0,15624544,1507118,10367168,Asia,1.483622984113097,0.17735737511084837,1.83613243557202
