,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M,Deaths/1M,Total Tests,Tests/1M,Population,Continent,%Inc Cases,%Inc Deaths,%Inc Recovered
151,Guinea,36329,-1.0,436,-1.0,32684,-1.0,3209,49,2650.0,32.0,587607,42863,13708994,Africa,-0.0027526218723333976,-0.22935779816513763,-0.0030596010280259456
152,Aruba,33513,13.0,198,-1.0,33224,30.0,91,6,311749.0,1842.0,177885,1654744,107500,North America,0.038790916957598544,-0.5050505050505051,0.09029617144233085
153,Tanzania,33436,-1.0,792,-1.0,0,0.0,0,7,535.0,13.0,-1,-1,62486067,Africa,-0.0029907883718148106,-0.12626262626262627,
154,Bahamas,32950,19.0,766,-1.0,25440,16.0,6744,9,82513.0,1918.0,215133,538736,399329,North America,0.05766312594840668,-0.13054830287206268,0.06289308176100629
155,Lesotho,32434,62.0,696,-1.0,23116,304.0,8622,-1,14948.0,321.0,391628,180494,2169753,Africa,0.19115742739100944,-0.14367816091954022,1.3151064197958124
156,Mali,30265,-1.0,716,-1.0,28037,5.0,1512,-1,1428.0,34.0,609358,28751,21194198,Africa,-0.0033041467041136623,-0.13966480446927373,0.017833577058886472
157,Haiti,29983,14.0,807,-1.0,25103,12.0,4073,-1,2579.0,69.0,132422,11389,11627606,North America,0.04669312610479272,-0.12391573729863693,0.04780305142811616
158,Faeroe Islands,29065,340.0,24,1.0,7693,-1.0,21348,5,591185.0,488.0,769000,15641526,49164,Europe,1.1697918458627214,4.166666666666666,-0.012998830105290526
159,Mauritius,28292,642.0,762,-1.0,25684,-1.0,1846,-1,22187.0,598.0,358675,281272,1275187,Africa,2.2691927046514917,-0.13123359580052493,-0.00389347453667653
160,Benin,26552,-1.0,163,-1.0,25506,-1.0,883,5,2101.0,13.0,604310,47821,12636863,Africa,-0.003766194636938837,-0.6134969325153374,-0.003920646122480984
161,Somalia,26203,-1.0,1340,-1.0,13182,-1.0,11681,-1,1578.0,81.0,400466,24109,16610406,Africa,-0.003816356905697821,-0.0746268656716418,-0.007586102260658473
162,Hong Kong,25051,2071.0,221,2.0,13232,-1.0,11598,-1,3298.0,29.0,34860499,4589633,7595488,Asia,8.267135044509201,0.904977375565611,-0.007557436517533252
163,Brunei ,23992,1477.0,98,-1.0,17414,178.0,6480,-1,54004.0,221.0,711068,1600556,444263,Asia,6.1562187395798595,-1.0204081632653061,1.022166073274377
164,Congo,23874,14.0,375,-1.0,20178,-1.0,3321,-1,4161.0,65.0,347815,60618,5737823,Africa,0.058641199631398175,-0.26666666666666666,-0.004955892556249381
165,Isle of Man,22132,21.0,77,-1.0,21859,36.0,196,-1,258063.0,898.0,150753,1757806,85762,Europe,0.09488523405024399,-1.2987012987012987,0.16469188892447045
166,Saint Lucia,22121,73.0,347,-1.0,20225,33.0,1549,1,119582.0,1876.0,131297,709767,184986,North America,0.33000316441390537,-0.2881844380403458,0.1631644004944376
167,Timor-Leste,21748,117.0,124,-1.0,20110,48.0,1514,22,16002.0,91.0,241439,177648,1359088,Asia,0.5379805039543866,-0.8064516129032258,0.23868722028841374
168,New Zealand,21573,968.0,53,-1.0,15864,199.0,5656,-1,4313.0,11.0,6313689,1262208,5002100,Australia/Oceania,4.487090344411997,-1.8867924528301887,1.2544125063035805
169,Burkina Faso,20721,5.0,375,-1.0,20289,-1.0,57,-1,949.0,17.0,247448,11335,21830397,Africa,0.02413010955069736,-0.26666666666666666,-0.004928779141406674
170,Taiwan,19621,54.0,851,-1.0,17560,38.0,1210,-1,821.0,36.0,11038879,462137,23886605,Asia,0.2752153305132256,-0.11750881316098707,0.21640091116173119
171,Nicaragua,17791,-1.0,218,-1.0,4225,-1.0,13348,-1,2635.0,32.0,-1,-1,6752177,North America,-0.0056208195154853575,-0.45871559633027525,-0.023668639053254437
172,Cayman Islands,17687,-1.0,16,-1.0,8553,-1.0,9118,2,264095.0,239.0,222773,3326360,66972,North America,-0.005653870074065698,-6.25,-0.011691804045364199
173,Tajikistan,17378,3.0,124,-1.0,17241,5.0,13,-1,1758.0,13.0,-1,-1,9884274,Asia,0.01726320635285994,-0.8064516129032258,0.02900063801403631
174,South Sudan,16897,17.0,137,-1.0,13077,-1.0,3683,1,1481.0,12.0,330958,29016,11406233,Africa,0.1006095756643191,-0.7299270072992701,-0.007647013841095052
175,Equatorial Guinea,15859,-1.0,182,-1.0,15554,-1.0,123,5,10734.0,123.0,273437,185066,1477511,Africa,-0.0063055678163818655,-0.5494505494505495,-0.006429214350006429
176,Djibouti,15534,-1.0,189,-1.0,15334,-1.0,11,-1,15361.0,187.0,278820,275715,1011261,Africa,-0.006437491953135059,-0.5291005291005291,-0.0065214555888874395
177,Gibraltar,14464,180.0,101,-1.0,13518,458.0,845,3,429517.0,2999.0,503235,14943875,33675,Europe,1.2444690265486726,-0.9900990099009901,3.3880751590471965
178,CAR,14187,33.0,113,2.0,6859,-1.0,7215,2,2857.0,23.0,81294,16371,4965693,Africa,0.2326073165574117,1.7699115044247788,-0.01457938474996355
179,San Marino,13988,417.0,110,1.0,13226,968.0,652,4,410844.0,3231.0,132336,3886862,34047,Europe,2.9811266800114384,0.9090909090909091,7.318917284137305
180,Grenada,13266,11.0,213,-1.0,12763,60.0,290,1,117017.0,1879.0,132143,1165611,113368,North America,0.08291873963515754,-0.4694835680751174,0.4701089085638173
181,Gambia,11911,-1.0,365,-1.0,11461,-1.0,85,4,4714.0,144.0,135608,53675,2526480,Africa,-0.008395600705230459,-0.273972602739726,-0.008725242125468982
182,Yemen,11679,8.0,2107,4.0,8496,43.0,1076,23,378.0,68.0,265253,8587,30888909,Asia,0.06849901532665469,0.18984337921214997,0.506120527306968
183,Greenland,11428,19.0,7,-1.0,2761,-1.0,8660,15,200738.0,123.0,164926,2896996,56930,North America,0.1662583129156458,-14.285714285714285,-0.036218761318362915
184,Bermuda,11246,100.0,121,1.0,10919,165.0,206,-1,181665.0,1955.0,777624,12561570,61905,North America,0.8892050506846879,0.8264462809917356,1.5111273926183717
185,Liechtenstein,10686,163.0,74,-1.0,10211,422.0,401,4,278971.0,1932.0,80413,2099282,38305,Europe,1.525360284484372,-1.3513513513513513,4.1327979629810985
186,Dominica,10527,113.0,53,-1.0,9418,164.0,1056,-1,145650.0,733.0,158133,2187905,72276,North America,1.0734302270352427,-1.8867924528301887,1.7413463580378
187,Saint Martin,9774,-1.0,63,-1.0,1399,-1.0,8312,7,245992.0,1586.0,78366,1972315,39733,North America,-0.01023122570083896,-1.5873015873015872,-0.07147962830593281
188,Eritrea,9675,7.0,103,-1.0,9502,31.0,70,-1,2668.0,28.0,23693,6534,3625890,Africa,0.07235142118863049,-0.9708737864077669,0.32624710587244793
189,Sint Maarten,9496,13.0,84,1.0,9192,27.0,220,10,217479.0,1924.0,62056,1421217,43664,North America,0.13689974726200504,1.1904761904761905,0.29373368146214096
190,Monaco,9053,32.0,49,-1.0,8796,47.0,208,4,228075.0,1234.0,54960,1384627,39693,Europe,0.35347398652380424,-2.0408163265306123,0.5343337880854935
191,Niger,8712,1.0,303,-1.0,8373,11.0,36,1,340.0,12.0,223204,8711,25623095,Africa,0.01147842056932966,-0.33003300330033003,0.13137465663442016
192,Comoros,8005,-1.0,160,-1.0,7689,-1.0,156,-1,8899.0,178.0,-1,-1,899577,Africa,-0.012492192379762648,-0.625,-0.013005592404734036
193,Guinea-Bissau,7849,-1.0,164,-1.0,6890,-1.0,795,6,3841.0,80.0,121057,59247,2043257,Africa,-0.012740476493820868,-0.6097560975609756,-0.014513788098693758
194,Bhutan,7666,237.0,5,-1.0,5389,190.0,2272,-1,9761.0,6.0,1852440,2358693,785367,Asia,3.0915731802765456,-20.0,3.5257005010205975
195,Sierra Leone,7652,-1.0,125,-1.0,0,0.0,0,-1,929.0,15.0,259958,31550,8239507,Africa,-0.013068478829064296,-0.8,
196,Caribbean Netherlands,7424,18.0,31,-1.0,7200,26.0,193,-1,278909.0,1165.0,30126,1131791,26618,North America,0.24245689655172414,-3.225806451612903,0.3611111111111111
197,Liberia,7359,1.0,290,-1.0,5747,-1.0,1322,2,1402.0,55.0,139824,26633,5250015,Africa,0.013588802826470988,-0.3448275862068966,-0.017400382808421787
198,Antigua and Barbuda,7331,-1.0,134,-1.0,6616,-1.0,581,1,73870.0,1350.0,18901,190454,99242,North America,-0.013640703860319191,-0.7462686567164178,-0.015114873035066504
199,Chad,7214,-1.0,190,-1.0,4874,-1.0,2150,-1,420.0,11.0,191341,11132,17188181,Africa,-0.01386193512614361,-0.5263157894736842,-0.02051702913418137
200,St. Vincent Grenadines,6727,2.0,103,1.0,6523,9.0,101,17,60326.0,924.0,97649,875689,111511,North America,0.029730935037906938,0.9708737864077669,0.13797332515713628
201,British Virgin Islands,5997,-1.0,61,-1.0,0,0.0,0,9,196256.0,1996.0,99354,3251432,30557,North America,-0.01667500416875104,-1.639344262295082,
202,Sao Tome and Principe,5920,-1.0,71,-1.0,5834,4.0,15,-1,26224.0,315.0,29036,128622,225746,Africa,-0.016891891891891893,-1.4084507042253522,0.06856359273225918
203,Turks and Caicos,5828,-1.0,35,-1.0,5654,-1.0,139,4,147302.0,885.0,419792,10610186,39565,North America,-0.017158544955387784,-2.857142857142857,-0.017686593562079942
204,Saint Kitts and Nevis,5505,6.0,40,-1.0,5391,8.0,74,1,102308.0,743.0,65141,1210619,53808,North America,0.10899182561307902,-2.5,0.1483954739380449
205,Solomon Islands,4827,338.0,61,3.0,1107,7.0,3659,12,6759.0,85.0,5117,7165,714135,Australia/Oceania,7.002278848145846,4.918032786885246,0.6323396567299007
206,St. Barth,3687,-1.0,6,-1.0,0,0.0,0,-1,371449.0,604.0,56491,5691215,9926,North America,-0.027122321670735017,-16.666666666666664,
207,Palau,3256,123.0,4,3.0,2178,421.0,1074,15,178568.0,219.0,29555,1620873,18234,Australia/Oceania,3.7776412776412776,75.0,19.32966023875115
208,Kiribati,2582,34.0,3,-1.0,407,93.0,2172,-1,21092.0,25.0,-1,-1,122416,Australia/Oceania,1.3168086754453912,-33.33333333333333,22.85012285012285
209,Anguilla,2497,39.0,9,-1.0,2469,34.0,19,4,164060.0,591.0,51382,3375953,15220,North America,1.5618742490989186,-11.11111111111111,1.377075739165654
210,Saint Pierre Miquelon,1033,-1.0,1,-1.0,981,-1.0,51,1,179715.0,174.0,17358,3019833,5748,North America,-0.0968054211035818,-100.0,-0.10193679918450561
211,Wallis and Futuna,454,-1.0,7,-1.0,438,-1.0,9,-1,41575.0,641.0,20508,1878022,10920,Australia/Oceania,-0.22026431718061676,-14.285714285714285,-0.228310502283105
212,Tonga,141,31.0,-1,-1.0,2,-1.0,139,-1,1310.0,-1.0,-1,-1,107635,Australia/Oceania,21.98581560283688,100.0,-50.0
213,Falkland Islands,89,-1.0,-1,-1.0,0,0.0,0,-1,24424.0,-1.0,8632,2368825,3644,South America,-1.1235955056179776,100.0,
214,Samoa,33,-1.0,-1,-1.0,3,-1.0,30,-1,165.0,-1.0,-1,-1,200549,Australia/Oceania,-3.0303030303030303,100.0,-33.33333333333333
215,Vatican City,29,-1.0,-1,-1.0,28,-1.0,1,-1,36070.0,-1.0,-1,-1,804,Europe,-3.4482758620689653,100.0,-3.571428571428571
216,Western Sahara,10,-1.0,1,-1.0,8,-1.0,1,-1,16.0,2.0,-1,-1,621099,Africa,-10.0,-100.0,-12.5
217,Total:,413860450,1481297.0,5845114,7852.0,335755751,2774427.0,72259585,85000,53094.4,749.9,-1,-1,-1,All,0.35792185506008123,0.13433442016699762,0.826323001687021
